No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
982,Materi kursus membantu memperkuat pemahaman secara efektif.,2,0,0,0,0,1,0,0,1,1,Materi kursus membantu memperkuat pemahaman secara efektif.,[],0
983,"Secara keseluruhan, materi pembelajaran ini memberikan pengalaman yang positif dan membangun kepercayaan diri 🙂",2,0,0,0,0,1,0,0,1,1,"Secara keseluruhan, materi pembelajaran ini memberikan pengalaman yang positif dan membangun kepercayaan diri",['🙂'],1
984,"Materi pembelajaran terasa kurang terstruktur dan ketinggalan zaman, sehingga sulit untuk mengikuti konsep-konsepnya dengan lancar dan mengurangi kepercayaan diri saya secara keseluruhan terhadap kursus ini.",2,0,0,0,0,0,1,0,0,0,"Materi pembelajaran terasa kurang terstruktur dan ketinggalan zaman, sehingga sulit untuk mengikuti konsep-konsepnya dengan lancar dan mengurangi kepercayaan diri saya secara keseluruhan terhadap kursus ini.",[],0
985,"Saya merasa penjelasan-penjelasan tersebut terkadang membingungkan, karena detail-detail penting dalam materi pembelajaran dilewati atau tidak dihubungkan dengan jelas.",1,0,0,0,0,0,1,0,0,0,"Saya merasa penjelasan-penjelasan tersebut terkadang membingungkan, karena detail-detail penting dalam materi pembelajaran dilewati atau tidak dihubungkan dengan jelas.",[],0
986,"Konten kursus kurang mendalam di area-area penting, yang membuat saya merasa tidak puas dengan materi pembelajaran tersebut 😞.",2,0,0,0,0,0,1,0,0,0,"Konten kursus kurang mendalam di area-area penting, yang membuat saya merasa tidak puas dengan materi pembelajaran tersebut .",['😞'],1
987,Saya kesulitan dengan materi pembelajaran karena materi tersebut mengasumsikan terlalu banyak pengetahuan sebelumnya dan tidak menjelaskan dasar-dasarnya dengan benar 😐.,2,0,0,0,0,0,1,0,0,0,Saya kesulitan dengan materi pembelajaran karena materi tersebut mengasumsikan terlalu banyak pengetahuan sebelumnya dan tidak menjelaskan dasar-dasarnya dengan benar .,['😐'],1
988,"Penjelasan dalam materi pembelajaran seringkali terasa terburu-buru, sehingga sulit untuk memahami konsep-konsep tersebut secara menyeluruh.",1,0,0,0,0,0,1,0,0,0,"Penjelasan dalam materi pembelajaran seringkali terasa terburu-buru, sehingga sulit untuk memahami konsep-konsep tersebut secara menyeluruh.",[],0
989,Saya merasa frustrasi dengan materi pembelajaran karena beberapa topik diperkenalkan tanpa penjelasan atau konteks yang cukup.,2,1,0,0,0,0,1,0,0,0,Saya merasa frustrasi dengan materi pembelajaran karena beberapa topik diperkenalkan tanpa penjelasan atau konteks yang cukup.,[],0
990,"Materi kursus terasa tidak konsisten kualitasnya, yang membuat pengalaman belajar menjadi membingungkan dan mengecewakan 😕.",2,0,0,0,0,0,1,0,0,0,"Materi kursus terasa tidak konsisten kualitasnya, yang membuat pengalaman belajar menjadi membingungkan dan mengecewakan .",['😕'],1
991,Saya merasa materi pembelajarannya sulit dipahami karena strukturnya yang kurang jelas dan kurangnya penjelasan praktis 😟.,2,1,0,0,0,0,0,0,0,0,Saya merasa materi pembelajarannya sulit dipahami karena strukturnya yang kurang jelas dan kurangnya penjelasan praktis .,['😟'],1
992,"Beberapa bagian dari materi pembelajaran terasa tidak lengkap, meninggalkan kesenjangan pemahaman yang tidak pernah ditangani dengan benar 😢.",2,0,0,0,0,0,1,0,0,0,"Beberapa bagian dari materi pembelajaran terasa tidak lengkap, meninggalkan kesenjangan pemahaman yang tidak pernah ditangani dengan benar .",['😢'],1
993,"Penjelasannya terlalu bergantung pada teori, sehingga materi pembelajaran terasa tidak seimbang dan sulit diterapkan 😐.",1,0,0,0,0,0,1,0,0,0,"Penjelasannya terlalu bergantung pada teori, sehingga materi pembelajaran terasa tidak seimbang dan sulit diterapkan .",['😐'],1
994,Saya merasa kecewa dengan materi pembelajaran karena konsep-konsep penting tidak dijelaskan secara cukup detail 😞.,2,0,0,0,0,0,1,0,0,0,Saya merasa kecewa dengan materi pembelajaran karena konsep-konsep penting tidak dijelaskan secara cukup detail .,['😞'],1
995,Cara penyajian materi pembelajaran tersebut menyulitkan untuk tetap fokus dan termotivasi.,2,0,0,0,0,0,1,0,0,0,Cara penyajian materi pembelajaran tersebut menyulitkan untuk tetap fokus dan termotivasi.,[],0
996,Saya merasa kontennya membuat frustrasi karena materi pembelajarannya melompat-lompat antar topik tanpa transisi yang jelas 😤.,2,1,0,0,0,0,0,0,0,0,Saya merasa kontennya membuat frustrasi karena materi pembelajarannya melompat-lompat antar topik tanpa transisi yang jelas .,['😤'],1
997,"Materi pembelajaran tidak cukup mendukung pemula, yang membuat pengalaman keseluruhan menjadi mengecewakan.",2,0,0,0,0,0,1,0,0,0,"Materi pembelajaran tidak cukup mendukung pemula, yang membuat pengalaman keseluruhan menjadi mengecewakan.",[],0
998,Saya sering merasa bingung ketika mempelajari materi pembelajaran karena contoh yang diberikan seringkali kurang atau tidak memadai.,2,0,0,0,0,0,1,0,0,0,Saya sering merasa bingung ketika mempelajari materi pembelajaran karena contoh yang diberikan seringkali kurang atau tidak memadai.,[],0
999,"Isi kursus terasa tidak terorganisir, menyebabkan kebingungan yang tidak perlu saat mencoba memahami materi pembelajaran.",2,0,0,0,0,0,1,0,0,0,"Isi kursus terasa tidak terorganisir, menyebabkan kebingungan yang tidak perlu saat mencoba memahami materi pembelajaran.",[],0
1000,Saya kecewa dengan materi pembelajarannya karena kurang penjelasan yang jelas untuk konsep-konsep yang lebih kompleks 😞.,1,0,0,0,0,0,1,0,0,0,Saya kecewa dengan materi pembelajarannya karena kurang penjelasan yang jelas untuk konsep-konsep yang lebih kompleks .,['😞'],1
1001,"Penjelasannya terkadang terasa dangkal, sehingga materi pembelajaran tersebut kurang bermanfaat dari yang diharapkan.",1,0,0,0,0,0,1,0,0,0,"Penjelasannya terkadang terasa dangkal, sehingga materi pembelajaran tersebut kurang bermanfaat dari yang diharapkan.",[],0
1002,Saya merasa materi pembelajaran tersebut membuat frustrasi karena tidak menjelaskan secara jelas alasan di balik ide-ide kuncinya 😠.,1,1,0,0,0,0,1,0,0,0,Saya merasa materi pembelajaran tersebut membuat frustrasi karena tidak menjelaskan secara jelas alasan di balik ide-ide kuncinya .,['😠'],1
1003,Struktur materi pembelajarannya membuat proses membangun pemahaman secara bertahap menjadi lebih sulit 😣.,2,0,0,0,0,0,1,0,0,0,Struktur materi pembelajarannya membuat proses membangun pemahaman secara bertahap menjadi lebih sulit .,['😣'],1
1004,Saya merasa tidak puas dengan materi pembelajaran tersebut karena tidak menghubungkan konsep-konsep yang berbeda secara jelas di berbagai bagian.,2,0,0,0,0,0,1,0,0,0,Saya merasa tidak puas dengan materi pembelajaran tersebut karena tidak menghubungkan konsep-konsep yang berbeda secara jelas di berbagai bagian.,[],0
1005,"Penjelasan dalam materi pembelajaran seringkali terasa tidak lengkap, membuat saya ragu tentang pemahaman saya 😐.",1,0,0,0,0,0,1,0,0,0,"Penjelasan dalam materi pembelajaran seringkali terasa tidak lengkap, membuat saya ragu tentang pemahaman saya .",['😐'],1
1006,Saya kesulitan untuk tetap fokus pada materi pembelajaran karena struktur dan alurnya yang kurang jelas 😕.,2,0,0,0,0,0,1,0,0,0,Saya kesulitan untuk tetap fokus pada materi pembelajaran karena struktur dan alurnya yang kurang jelas .,['😕'],1
1007,Isi kursus terasa kurang bermanfaat dari yang diharapkan karena materi pembelajarannya kurang jelas dan mendalam.,2,0,0,0,0,0,1,0,0,0,Isi kursus terasa kurang bermanfaat dari yang diharapkan karena materi pembelajarannya kurang jelas dan mendalam.,[],0
1008,"Secara keseluruhan, materi pembelajaran terasa membingungkan dan kurang dijelaskan, yang berdampak negatif pada pengalaman belajar saya.",2,0,0,0,0,0,1,0,0,0,"Secara keseluruhan, materi pembelajaran terasa membingungkan dan kurang dijelaskan, yang berdampak negatif pada pengalaman belajar saya.",[],0
1009,"Materi pembelajaran umumnya jelas, meskipun beberapa bagian memerlukan perhatian ekstra untuk memahami penjelasan sepenuhnya.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran umumnya jelas, meskipun beberapa bagian memerlukan perhatian ekstra untuk memahami penjelasan sepenuhnya.",[],0
1010,"Secara keseluruhan, saya merasa materi kursus dapat diterima, dengan beberapa topik dijelaskan lebih jelas daripada yang lain.",2,0,0,0,0,1,0,0,1,1,"Secara keseluruhan, saya merasa materi kursus dapat diterima, dengan beberapa topik dijelaskan lebih jelas daripada yang lain.",[],0
1011,"Materi pembelajaran ini memberikan gambaran umum yang cukup baik tentang subjek tersebut, meskipun beberapa bagian terasa singkat 🙂.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran ini memberikan gambaran umum yang cukup baik tentang subjek tersebut, meskipun beberapa bagian terasa singkat .",['🙂'],1
1012,"Kontennya disusun secara logis, meskipun beberapa transisi terasa mendadak.",2,0,0,0,0,1,0,0,1,1,"Kontennya disusun secara logis, meskipun beberapa transisi terasa mendadak.",[],0
1013,"Saya rasa materi pembelajaran ini cukup baik sebagai pengantar, tetapi referensi tambahan mungkin akan bermanfaat.",2,0,0,0,0,1,0,0,1,1,"Saya rasa materi pembelajaran ini cukup baik sebagai pengantar, tetapi referensi tambahan mungkin akan bermanfaat.",[],0
1014,"Penjelasannya mudah dipahami, meskipun beberapa contoh bisa diperluas.",1,0,0,0,0,1,0,0,1,1,"Penjelasannya mudah dipahami, meskipun beberapa contoh bisa diperluas.",[],0
1015,"Materi pembelajaran terasa seimbang antara teori dan penjelasan, tanpa terlalu condong ke satu arah.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran terasa seimbang antara teori dan penjelasan, tanpa terlalu condong ke satu arah.",[],0
1016,"Saya mampu memahami sebagian besar isinya, meskipun beberapa bagian perlu dibaca ulang.",2,0,0,0,0,1,0,0,1,1,"Saya mampu memahami sebagian besar isinya, meskipun beberapa bagian perlu dibaca ulang.",[],0
1017,"Materi tersebut menjelaskan ide-ide inti dengan cukup baik, meskipun tidak semua detail dijelaskan secara mendalam.",2,0,0,0,0,1,0,0,1,1,"Materi tersebut menjelaskan ide-ide inti dengan cukup baik, meskipun tidak semua detail dijelaskan secara mendalam.",[],0
1018,"Konten pembelajaran terasa informatif, tanpa terlalu menarik atau membingungkan.",2,0,0,0,0,1,0,0,1,1,"Konten pembelajaran terasa informatif, tanpa terlalu menarik atau membingungkan.",[],0
1019,"Materi kursus disusun dengan cukup baik, meskipun beberapa penataan ulang dapat meningkatkan kejelasan.",2,0,0,0,0,1,0,0,1,1,"Materi kursus disusun dengan cukup baik, meskipun beberapa penataan ulang dapat meningkatkan kejelasan.",[],0
1020,"Menurut saya, materi pembelajaran tersebut cukup untuk memahami dasar-dasarnya, tetapi tidak sepenuhnya komprehensif.",2,0,0,0,0,1,0,0,1,1,"Menurut saya, materi pembelajaran tersebut cukup untuk memahami dasar-dasarnya, tetapi tidak sepenuhnya komprehensif.",[],0
1021,"Penjelasannya mudah dipahami, meskipun terkadang mengasumsikan pemahaman sebelumnya.",1,0,0,0,0,1,0,0,1,1,"Penjelasannya mudah dipahami, meskipun terkadang mengasumsikan pemahaman sebelumnya.",[],0
1022,"Materi pembelajarannya mudah dinavigasi, tetapi beberapa konsep membutuhkan usaha ekstra 😐.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajarannya mudah dinavigasi, tetapi beberapa konsep membutuhkan usaha ekstra .",['😐'],1
1023,"Isi konten terasa netral, lebih berfokus pada penjelasan daripada persuasi.",2,0,0,0,0,1,0,0,1,1,"Isi konten terasa netral, lebih berfokus pada penjelasan daripada persuasi.",[],0
1024,"Menurut saya, materi pembelajaran tersebut menyampaikan gagasan-gagasan utama dengan cukup jelas.",2,0,0,0,0,1,0,0,1,1,"Menurut saya, materi pembelajaran tersebut menyampaikan gagasan-gagasan utama dengan cukup jelas.",[],0
1025,"Penjelasannya cukup memadai, meskipun beberapa konsep akan lebih baik jika diberikan konteks yang lebih luas.",1,0,0,0,0,1,0,0,1,1,"Penjelasannya cukup memadai, meskipun beberapa konsep akan lebih baik jika diberikan konteks yang lebih luas.",[],0
1026,"Konten kursus memberikan dasar yang stabil, tanpa membahas banyak kasus khusus.",2,0,0,0,0,1,0,0,1,1,"Konten kursus memberikan dasar yang stabil, tanpa membahas banyak kasus khusus.",[],0
1027,"Saya merasa materi pembelajarannya mudah dipahami, meskipun tidak terlalu mudah diingat.",2,0,0,0,0,1,0,0,1,1,"Saya merasa materi pembelajarannya mudah dipahami, meskipun tidak terlalu mudah diingat.",[],0
1028,Materi tersebut menyajikan subjek dengan cukup baik tanpa menonjol secara berlebihan.,2,0,0,0,0,1,0,0,1,1,Materi tersebut menyajikan subjek dengan cukup baik tanpa menonjol secara berlebihan.,[],0
1029,"Materi pembelajaran terasa konsisten dalam gaya penulisannya, meskipun beberapa bagian lebih detail daripada bagian lainnya.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran terasa konsisten dalam gaya penulisannya, meskipun beberapa bagian lebih detail daripada bagian lainnya.",[],0
1030,"Saya mampu memahami pelajaran-pelajaran tersebut, tetapi beberapa penjelasan terasa kurang lengkap.",2,0,0,0,0,1,0,0,1,1,"Saya mampu memahami pelajaran-pelajaran tersebut, tetapi beberapa penjelasan terasa kurang lengkap.",[],0
1031,"Isinya menyajikan ide-ide dengan jelas, meskipun beberapa contoh terasa terbatas.",2,0,0,0,0,1,0,0,1,1,"Isinya menyajikan ide-ide dengan jelas, meskipun beberapa contoh terasa terbatas.",[],0
1032,"Materi pembelajaran disusun secara logis, dengan sedikit celah dalam penjelasan.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran disusun secara logis, dengan sedikit celah dalam penjelasan.",[],0
1033,Saya rasa materi ini cocok untuk pembelajar yang bersedia meninjau konsep secara mandiri.,2,0,0,0,0,1,0,0,1,1,Saya rasa materi ini cocok untuk pembelajar yang bersedia meninjau konsep secara mandiri.,[],0
1034,Penjelasannya bersifat netral dan berfokus pada penyampaian informasi.,1,0,0,0,0,1,0,0,1,1,Penjelasannya bersifat netral dan berfokus pada penyampaian informasi.,[],0
1035,"Materi pembelajaran membantu saya mengikuti kursus, meskipun beberapa bagian membutuhkan konsentrasi ekstra 🤔.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran membantu saya mengikuti kursus, meskipun beberapa bagian membutuhkan konsentrasi ekstra .",['🤔'],1
1036,"Kontennya terasa stabil dan informatif, tanpa dampak emosional yang kuat.",2,0,0,0,0,1,0,0,1,1,"Kontennya terasa stabil dan informatif, tanpa dampak emosional yang kuat.",[],0
1037,"Saya merasa materi pembelajaran tersebut dapat diterima, dengan tingkat kejelasan yang beragam.",2,0,0,0,0,1,0,0,1,1,"Saya merasa materi pembelajaran tersebut dapat diterima, dengan tingkat kejelasan yang beragam.",[],0
1038,"Penjelasan-penjelasan tersebut memberikan pemahaman umum, meskipun wawasan yang lebih mendalam mungkin memerlukan latihan.",1,0,0,0,0,1,0,0,1,1,"Penjelasan-penjelasan tersebut memberikan pemahaman umum, meskipun wawasan yang lebih mendalam mungkin memerlukan latihan.",[],0
1039,"Materi pembelajaran ini mendukung pembelajaran bertahap, meskipun terkadang terasa kurang menarik.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran ini mendukung pembelajaran bertahap, meskipun terkadang terasa kurang menarik.",[],0
1040,"Saya rasa konten tersebut menjelaskan dasar-dasarnya dengan cukup memadai, dengan ruang untuk klarifikasi lebih lanjut di kemudian hari.",2,0,0,0,0,1,0,0,1,1,"Saya rasa konten tersebut menjelaskan dasar-dasarnya dengan cukup memadai, dengan ruang untuk klarifikasi lebih lanjut di kemudian hari.",[],0
1041,"Materi terasa terstruktur, meskipun beberapa pelajaran tampak dipadatkan.",2,0,0,0,0,1,0,0,1,1,"Materi terasa terstruktur, meskipun beberapa pelajaran tampak dipadatkan.",[],0
1042,"Saya mampu mengikuti materi pembelajaran, tetapi beberapa ide terasa diperkenalkan secara singkat.",2,0,0,0,0,1,0,0,1,1,"Saya mampu mengikuti materi pembelajaran, tetapi beberapa ide terasa diperkenalkan secara singkat.",[],0
1043,"Penjelasannya umumnya mudah dipahami, meskipun tidak selalu detail.",1,0,0,0,0,1,0,0,1,1,"Penjelasannya umumnya mudah dipahami, meskipun tidak selalu detail.",[],0
1044,Konten pembelajaran terasa netral dan instruktif dalam penyampaiannya.,2,0,0,0,0,1,0,0,1,1,Konten pembelajaran terasa netral dan instruktif dalam penyampaiannya.,[],0
1045,"Saya merasa materi tersebut bermanfaat untuk orientasi, meskipun eksplorasi lebih lanjut masih diperlukan.",2,0,0,0,0,1,0,0,1,1,"Saya merasa materi tersebut bermanfaat untuk orientasi, meskipun eksplorasi lebih lanjut masih diperlukan.",[],0
1046,Materi pembelajaran menyajikan topik dengan cukup jelas sehingga mudah diikuti.,2,0,0,0,0,1,0,0,1,1,Materi pembelajaran menyajikan topik dengan cukup jelas sehingga mudah diikuti.,[],0
1047,"Beberapa bagian lebih jelas daripada yang lain, tetapi secara keseluruhan materinya tetap mudah dipahami 😶.",2,0,0,0,0,1,0,0,1,1,"Beberapa bagian lebih jelas daripada yang lain, tetapi secara keseluruhan materinya tetap mudah dipahami .",['😶'],1
1048,"Penjelasan tersebut menguraikan konsep-konsep utama, meskipun tidak semua detail dibahas.",1,0,0,0,0,1,0,0,1,1,"Penjelasan tersebut menguraikan konsep-konsep utama, meskipun tidak semua detail dibahas.",[],0
1049,"Materi pembelajaran disajikan dengan cara yang lugas, tanpa kerumitan yang tidak perlu.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran disajikan dengan cara yang lugas, tanpa kerumitan yang tidak perlu.",[],0
1050,Saya rasa kontennya sudah memadai untuk memahami arah kursus.,2,0,0,0,0,1,0,0,1,1,Saya rasa kontennya sudah memadai untuk memahami arah kursus.,[],0
1051,"Materi ini terasa informatif, meskipun terkadang kurang mendalam dalam hal ilustrasi.",2,0,0,0,0,1,0,0,1,1,"Materi ini terasa informatif, meskipun terkadang kurang mendalam dalam hal ilustrasi.",[],0
1052,"Saya mampu mengikuti materi pembelajaran, meskipun terkadang terdapat ambiguitas.",2,0,0,0,0,1,0,0,1,1,"Saya mampu mengikuti materi pembelajaran, meskipun terkadang terdapat ambiguitas.",[],0
1053,"Penjelasan-penjelasan tersebut menyampaikan ide-ide penting, meskipun beberapa contoh terasa terbatas.",1,0,0,0,0,1,0,0,1,1,"Penjelasan-penjelasan tersebut menyampaikan ide-ide penting, meskipun beberapa contoh terasa terbatas.",[],0
1054,Konten pembelajarannya bermanfaat dan tidak menimbulkan kebingungan besar.,2,0,0,0,0,1,0,0,1,1,Konten pembelajarannya bermanfaat dan tidak menimbulkan kebingungan besar.,[],0
1055,"Saya mendapati materi tersebut secara umum mudah dipahami, meskipun ada beberapa bagian yang perlu klarifikasi.",2,0,0,0,0,1,0,0,1,1,"Saya mendapati materi tersebut secara umum mudah dipahami, meskipun ada beberapa bagian yang perlu klarifikasi.",[],0
1056,Isi kursus mempertahankan tingkat penjelasan yang konsisten.,2,0,0,0,0,1,0,0,1,1,Isi kursus mempertahankan tingkat penjelasan yang konsisten.,[],0
1057,Materi pembelajaran ini memberikan gambaran umum yang memadai tentang subjek tersebut.,2,0,0,0,0,1,0,0,1,1,Materi pembelajaran ini memberikan gambaran umum yang memadai tentang subjek tersebut.,[],0
1058,"Saya rasa penjelasannya sudah cukup, meskipun tidak terlalu detail.",1,0,0,0,0,1,0,0,1,1,"Saya rasa penjelasannya sudah cukup, meskipun tidak terlalu detail.",[],0
1059,"Materi pembelajaran mudah diikuti di sebagian besar bagian, dengan beberapa pengecualian.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran mudah diikuti di sebagian besar bagian, dengan beberapa pengecualian.",[],0
1060,"Isi materi menjelaskan topik-topik tersebut dengan cukup baik, meskipun terkadang terasa dangkal 😑.",2,0,0,0,0,1,0,0,1,1,"Isi materi menjelaskan topik-topik tersebut dengan cukup baik, meskipun terkadang terasa dangkal .",['😑'],1
1061,Saya menemukan materi tersebut netral dalam nada dan pendekatannya.,2,0,0,0,0,1,0,0,1,1,Saya menemukan materi tersebut netral dalam nada dan pendekatannya.,[],0
1062,"Penjelasannya sebagian besar jelas, meskipun beberapa ide hanya dibahas secara singkat.",1,0,0,0,0,1,0,0,1,1,"Penjelasannya sebagian besar jelas, meskipun beberapa ide hanya dibahas secara singkat.",[],0
1063,"Materi pembelajaran memungkinkan pemahaman, asalkan peserta didik tetap memperhatikan.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran memungkinkan pemahaman, asalkan peserta didik tetap memperhatikan.",[],0
1064,Saya rasa konten kursus akan lebih efektif jika dipadukan dengan latihan tambahan.,2,0,0,0,0,1,0,0,1,1,Saya rasa konten kursus akan lebih efektif jika dipadukan dengan latihan tambahan.,[],0
1065,"Materi tersebut menyajikan konsep secara logis, meskipun tidak selalu menyeluruh.",2,0,0,0,0,1,0,0,1,1,"Materi tersebut menyajikan konsep secara logis, meskipun tidak selalu menyeluruh.",[],0
1066,"Saya bisa memahami pelajaran-pelajaran tersebut, tetapi beberapa penjelasan terasa kurang mendalam.",2,0,0,0,0,1,0,0,1,1,"Saya bisa memahami pelajaran-pelajaran tersebut, tetapi beberapa penjelasan terasa kurang mendalam.",[],0
1067,Konten pembelajaran disusun dengan cukup baik.,2,0,0,0,0,1,0,0,1,1,Konten pembelajaran disusun dengan cukup baik.,[],0
1068,Penjelasan-penjelasan tersebut memberikan gambaran umum tentang topik tanpa membahasnya terlalu mendalam.,1,0,0,0,0,1,0,0,1,1,Penjelasan-penjelasan tersebut memberikan gambaran umum tentang topik tanpa membahasnya terlalu mendalam.,[],0
1069,"Materi pembelajaran terasa seimbang, tidak terlalu sederhana dan tidak terlalu kompleks.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran terasa seimbang, tidak terlalu sederhana dan tidak terlalu kompleks.",[],0
1070,"Menurut saya, konten tersebut mengkomunikasikan ide-ide utama dengan cukup jelas.",2,0,0,0,0,1,0,0,1,1,"Menurut saya, konten tersebut mengkomunikasikan ide-ide utama dengan cukup jelas.",[],0
1071,"Materi tersebut mudah dipahami, meskipun beberapa penjelasan tambahan akan sangat membantu.",2,0,0,0,0,1,0,0,1,1,"Materi tersebut mudah dipahami, meskipun beberapa penjelasan tambahan akan sangat membantu.",[],0
1072,"Penjelasannya konsisten, meskipun tidak selalu menarik.",1,0,0,0,0,1,0,0,1,1,"Penjelasannya konsisten, meskipun tidak selalu menarik.",[],0
1073,Materi pembelajaran menyajikan informasi dengan cara yang lugas.,2,0,0,0,0,1,0,0,1,1,Materi pembelajaran menyajikan informasi dengan cara yang lugas.,[],0
1074,"Beberapa konsep dijelaskan dengan jelas, sementara yang lain membutuhkan perhatian lebih 😕.",1,0,0,0,0,1,0,0,1,1,"Beberapa konsep dijelaskan dengan jelas, sementara yang lain membutuhkan perhatian lebih .",['😕'],1
1075,Konten tersebut mendukung pembelajaran yang stabil tanpa menimbulkan respons emosional yang kuat.,2,0,0,0,0,1,0,0,1,1,Konten tersebut mendukung pembelajaran yang stabil tanpa menimbulkan respons emosional yang kuat.,[],0
1076,"Saya merasa materi pembelajarannya praktis, meskipun tidak terlalu detail.",2,0,0,0,0,1,0,0,1,1,"Saya merasa materi pembelajarannya praktis, meskipun tidak terlalu detail.",[],0
1077,Penjelasan yang diberikan cukup memadai untuk mengikuti struktur kursus.,1,0,0,0,0,1,0,0,1,1,Penjelasan yang diberikan cukup memadai untuk mengikuti struktur kursus.,[],0
1078,Materi pembelajaran tersebut menguraikan subjek tanpa memberikan detail yang berlebihan.,2,0,0,0,0,1,0,0,1,1,Materi pembelajaran tersebut menguraikan subjek tanpa memberikan detail yang berlebihan.,[],0
1079,Isi kursus disajikan secara netral dan umumnya mudah diikuti.,2,0,0,0,0,1,0,0,1,1,Isi kursus disajikan secara netral dan umumnya mudah diikuti.,[],0
1080,"Dengan sedikit usaha, saya mampu memahami sebagian besar materi pembelajaran.",2,0,0,0,0,1,0,0,1,1,"Dengan sedikit usaha, saya mampu memahami sebagian besar materi pembelajaran.",[],0
1081,Penjelasan-penjelasan tersebut memberikan pemahaman dasar tentang topik-topik tersebut.,1,0,0,0,0,1,0,0,1,1,Penjelasan-penjelasan tersebut memberikan pemahaman dasar tentang topik-topik tersebut.,[],0
1082,"Materi pembelajaran terasa informatif, meskipun tidak terlalu analitis.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran terasa informatif, meskipun tidak terlalu analitis.",[],0
1083,Saya rasa konten tersebut berfungsi sebagai referensi yang memadai untuk subjek tersebut.,2,0,0,0,0,1,0,0,1,1,Saya rasa konten tersebut berfungsi sebagai referensi yang memadai untuk subjek tersebut.,[],0
1084,Materi tersebut menjelaskan konsep-konsep dengan cukup jelas untuk pembelajaran berkelanjutan.,2,0,0,0,0,1,0,0,1,1,Materi tersebut menjelaskan konsep-konsep dengan cukup jelas untuk pembelajaran berkelanjutan.,[],0
1085,Konten pembelajaran disusun dengan cara yang dapat diprediksi.,2,0,0,0,0,1,0,0,1,1,Konten pembelajaran disusun dengan cara yang dapat diprediksi.,[],0
1086,"Saya merasa penjelasannya mudah dipahami, meskipun agak singkat.",1,0,0,0,0,1,0,0,1,1,"Saya merasa penjelasannya mudah dipahami, meskipun agak singkat.",[],0
1087,"Materi pembelajarannya terasa mudah diakses, meskipun beberapa bagian kurang mendalam 😐.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajarannya terasa mudah diakses, meskipun beberapa bagian kurang mendalam .",['😐'],1
1088,"Konten tersebut mengkomunikasikan ide-ide dengan jelas, tanpa penekanan yang berlebihan.",2,0,0,0,0,1,0,0,1,1,"Konten tersebut mengkomunikasikan ide-ide dengan jelas, tanpa penekanan yang berlebihan.",[],0
1089,"Materi pembelajaran mendukung pemahaman, asalkan bagian-bagian penting ditinjau kembali.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran mendukung pemahaman, asalkan bagian-bagian penting ditinjau kembali.",[],0
1090,"Menurut saya penjelasannya dapat diterima, meskipun tidak terlalu detail.",1,0,0,0,0,1,0,0,1,1,"Menurut saya penjelasannya dapat diterima, meskipun tidak terlalu detail.",[],0
1091,Materi tersebut terasa netral dan informatif.,2,0,0,0,0,1,0,0,1,1,Materi tersebut terasa netral dan informatif.,[],0
1092,"Konten pembelajarannya mudah diikuti, meskipun beberapa bagian terasa padat.",2,0,0,0,0,1,0,0,1,1,"Konten pembelajarannya mudah diikuti, meskipun beberapa bagian terasa padat.",[],0
1093,Saya merasa penjelasan-penjelasan tersebut cukup jelas untuk melanjutkan kursus.,1,0,0,0,0,1,0,0,1,1,Saya merasa penjelasan-penjelasan tersebut cukup jelas untuk melanjutkan kursus.,[],0
1094,"Materi pembelajaran memberikan kejelasan secara umum, meskipun terkadang terdapat ambiguitas.",2,0,0,0,0,1,0,0,1,1,"Materi pembelajaran memberikan kejelasan secara umum, meskipun terkadang terdapat ambiguitas.",[],0
1095,"Isinya mudah dipahami, meskipun beberapa contoh akan sangat membantu.",2,0,0,0,0,1,0,0,1,1,"Isinya mudah dipahami, meskipun beberapa contoh akan sangat membantu.",[],0
1096,Penjelasan tersebut menguraikan konsep tanpa elaborasi yang berlebihan.,1,0,0,0,0,1,0,0,1,1,Penjelasan tersebut menguraikan konsep tanpa elaborasi yang berlebihan.,[],0
1097,Materi pembelajaran dirasa cukup memadai untuk orientasi.,2,0,0,0,0,1,0,0,1,1,Materi pembelajaran dirasa cukup memadai untuk orientasi.,[],0
1098,"Menurut saya, isi kursus tersebut menyampaikan hal-hal penting secara efektif.",2,0,0,0,0,1,0,0,1,1,"Menurut saya, isi kursus tersebut menyampaikan hal-hal penting secara efektif.",[],0
